Permutation,TrainDur,Subject,BestLambda,SpecAccuracy,GenAccuracy
2,60,19,0.464158883361278,0.0130351345612312,0.0242194423297833
2,150,1,10,0.0168507536871439,0.00886272226302813
2,150,2,100000,-0.00617411218892709,0.00539743571766767
2,150,3,0.1,0.0305252835221419,0.0240343744121859
2,150,4,100000,0.0218148081455242,-0.00109441367478778
2,150,5,0.464158883361278,0.034267525077278,0.0351374030011956
2,150,6,0.1,0.0415705956666862,0.0303981505545343
2,150,7,2.15443469003188,0.0175964135802211,0.0290325309448398
2,150,8,0.1,0.0273475248279234,0.0346546917988061
2,150,9,100000,0.0116995951690766,0.000120831338886699
2,150,10,10,0.0449845375794399,0.0312175949232517
2,150,11,2.15443469003188,-0.00365157588702518,0.0108889766190616
2,150,12,2.15443469003188,0.0142997589054811,0.025543617180658
2,150,13,0.464158883361278,0.0233305854196391,0.0204424612239743
2,150,14,2.15443469003188,0.0351306709703026,0.0222070637027442
2,150,15,0.1,-0.00153231829329989,0.0162522591756501
2,150,16,0.1,0.00978144049064796,0.0318108228417101
2,150,17,2.15443469003188,0.00836558511135808,0.0129490286126721
